,Elong %,Hydrogen Ml/100gm,Moisture,YS(Kgf/mm2),UTS,Hardness,Ferrite (Fn),Hardness_Scale,V,C,Cr,Mn,Mo,Ni,P ,S ,Si ,Cb,UTS(Kg/mm2),Cu,Category,Elongation
149,9.5,,,235.0,,,,HRC,,0.095,1.35,0.55,0.525,0.1,0.0125,0.0125,0.55,,275.0,0.175,  FW,9.5
150,9.5,,,235.0,,,,HRC,,0.095,1.35,0.55,0.525,0.1,0.0125,0.0125,0.55,,275.0,0.175,  FW,9.5
151,9.5,,,235.0,,,,HRC,,0.095,1.35,0.55,0.525,0.1,0.0125,0.0125,0.55,,275.0,0.175,  FW,9.5
152,9.5,,,235.0,,,,HRC,,0.095,1.35,0.55,0.525,0.1,0.0125,0.0125,0.55,,275.0,0.175,  FW,9.5
153,9.5,,,235.0,,,,HRC,,0.095,1.35,0.55,0.525,0.1,0.0125,0.0125,0.55,,275.0,0.175,  FW,9.5
154,9.5,,,235.0,,,,HRC,,0.095,1.35,0.55,0.525,0.1,0.0125,0.0125,0.55,,275.0,0.175,  FW,9.5
155,9.5,,,235.0,,,,HRC,,0.095,1.35,0.55,0.525,0.1,0.0125,0.0125,0.55,,275.0,0.175,  FW,9.5
156,9.5,,,235.0,,,,HRC,,0.095,1.35,0.55,0.525,0.1,0.0125,0.0125,0.55,,275.0,0.175,  FW,9.5
157,9.5,,,235.0,,,,HRC,,0.025,1.35,0.55,0.525,0.1,0.0125,0.0125,0.55,,257.5,0.175,  FW,9.5
158,9.5,,,235.0,,,,HRC,,0.025,1.35,0.55,0.525,0.1,0.0125,0.0125,0.55,,257.5,0.175,  FW,9.5
159,9.5,,,235.0,,,,HRC,,0.025,1.35,0.55,0.525,0.1,0.0125,0.0125,0.55,,257.5,0.175,  FW,9.5
160,9.5,,,235.0,,,,HRC,,0.025,1.35,0.55,0.525,0.1,0.0125,0.0125,0.55,,257.5,0.175,  FW,9.5
161,8.5,,,270.0,,,,HRC,,0.095,2.5,0.55,1.05,0.1,0.0125,0.0125,0.55,,310.0,0.175,  FW,8.5
162,8.5,,,270.0,,,,HRC,,0.095,2.5,0.55,1.05,0.1,0.0125,0.0125,0.55,,310.0,0.175,  FW,8.5
163,8.5,,,270.0,,,,HRC,,0.095,2.5,0.55,1.05,0.1,0.0125,0.0125,0.55,,310.0,0.175,  FW,8.5
164,8.5,,,270.0,,,,HRC,,0.095,2.5,0.55,1.05,0.1,0.0125,0.0125,0.55,,310.0,0.175,  FW,8.5
165,8.5,,,235.0,,,,HRC,,0.025,2.5,0.55,1.05,0.1,0.0125,0.0125,0.55,,275.0,0.175,  FW,8.5
166,8.5,,,285.0,,,,HRC,,0.05,5.25,0.55,0.55,0.3,0.0125,0.0125,0.25,,235.0,0.175,  FW,8.5
167,8.5,,,285.0,,,,HRC,,0.05,5.25,0.55,0.55,0.3,0.0125,0.0125,0.25,,235.0,0.175,  FW,8.5
168,8.5,,,285.0,,,,HRC,,0.05,5.25,0.55,0.55,0.3,0.0125,0.0125,0.25,,235.0,0.175,  FW,8.5
169,8.5,,,285.0,,,,HRC,,0.05,5.25,0.55,0.55,0.3,0.0125,0.0125,0.25,,235.0,0.175,  FW,8.5
170,8.5,,,285.0,,,,HRC,,0.05,9.25,0.55,1.0,0.25,0.0125,0.0125,0.25,,275.0,0.175,  FW,8.5
171,8.5,,,285.0,,,,HRC,,0.05,9.25,0.55,1.0,0.25,0.0125,0.0125,0.25,,275.0,0.175,  FW,8.5
172,8.5,,,285.0,,,,HRC,,0.05,9.25,0.55,1.0,0.25,0.0125,0.0125,0.25,,275.0,0.175,  FW,8.5
173,8.5,,,285.0,,,,HRC,,0.05,9.25,0.55,1.0,0.25,0.0125,0.0125,0.25,,275.0,0.175,  FW,8.5
174,8.0,,,205.0,,,,HRC,0.225,0.1,9.25,0.6,1.025,0.4,0.005,0.005,0.325,,310.0,0.1,  FW,8.0
175,8.0,,,205.0,,,,HRC,0.225,0.1,9.25,0.6,1.025,0.4,0.005,0.005,0.325,,310.0,0.1,  FW,8.0
176,8.0,,,205.0,,,,HRC,0.225,0.1,9.25,0.6,1.025,0.4,0.005,0.005,0.325,,310.0,0.1,  FW,8.0
177,8.0,,,205.0,,,,HRC,0.225,0.1,9.25,0.6,1.025,0.4,0.005,0.005,0.325,,310.0,0.1,  FW,8.0
178,8.5,,,235.0,,,,HRC,,0.095,,1.85,0.5,0.075,0.0125,0.0125,0.65,,275.0,0.25,  FW,8.5
179,8.5,,,235.0,,,,HRC,,0.095,,1.85,0.5,0.075,0.0125,0.0125,0.65,,275.0,0.25,  FW,8.5
180,8.5,,,235.0,,,,HRC,,0.095,,1.85,0.5,0.075,0.0125,0.0125,0.65,,275.0,0.25,  FW,8.5
181,10.0,,,,520.0,,,HRC,,0.06,12.5,0.3,0.375,0.3,0.015,0.015,0.25,,,0.375,  FW,10.0
