,Cu,Mn,Other,Si,C,Cr,Mo,Ni,P,S,V,N,Fe,Nb,Ti,W,Nb+Ta,B,Al,Co,Zn,Zr,Mg,Be,Ag,Sn,Ni+Co
126,,1.40,,0.88,0.06,20.50,,10.50,0.019,0.008,,,,,,,,,,,,,,,,,
127,,1.40,,0.70,0.025,20.0,,10.50,0.020,0.008,,,,,,,,,,,,,,,,,
128,,1.30,,0.70,0.03,23.5,0.10,12.5,0.018,0.005,,,,,,,,,,,,,,,,,
129,,1.40,,0.70,0.02,23.2,2.3,12.7,0.018,0.007,,,,,,,,,,,,,,,,,
130,,0.9,,0.55,0.025,23,2.3,12,,,,,,,,,,,,,,,,,,,
131,,1.40,,0.70,0.03,23.0,,12.5,0.020,0.08,,,,0.80,,,,,,,,,,,,,
132,,1.30,,0.7,0.03,23.5,0.10,12.5,0.0018,0.005,,,,,,,,,,,,,,,,,
133,,2.10,,0.58,0.18,25.5,,20.36,,,,,,,,,,,,,,,,,,,
134,,1.20,,0.60,0.12,29.5,,9.5,,,,,,,,,,,,,,,,,,,
135,,1.40,,0.70,0.03,18.50,2.55,12.50,,,,,,,,,,,,,,,,,,,
136,,1.60,,0.90,0.02,18.9,2.3,12.50,,,,,,,,,,,,,,,,,,,
137,,1.40,,0.70,0.03,18.50,2.55,12.5,,,,,,,,,,,,,,,,,,,
138,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,,1.3,,0.5,0.02,18.5,2.8,11.6,0.02,0.012,,,,0.4,,,,,,,,,,,,,
140,,1.60,,0.80,0.02,19.0,,10.2,0.021,0.004,,,,,,,0.7,,,,,,,,,,
141,,1.30,,0.60,0.03,18.7,,10.4,,,,,,0.6,,,,,,,,,,,,,
142,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,,0.9,,0.9,0.05,13.5,0.75,4.5,,,,,Rem,,,,,,,,,,,,,,
144,,0.70,,0.80,0.08,25.00,,4.00,0.020,0.008,,,,,,,,,,,,,,,,,
145,,2.0,,0.6,2.5,11.5,,,,,,,,5.0,,,,2.2,,,,,,,,,
146,1.34,1.56,,0.66,0.03,20.9,4.8,25.3,0.024,0.003,,0.13,,,,,,,,,,,,,,,
147,0.05,1.0,,0.30,0.1,9,1.0,0.30,0.01,0.008,0.20,0.05,,0.05,,,,,0.03,,,,,,,,
148,,1.4,,0.4,0.05,,,, 0.015, 0.015,,,,,,,,,,,,,,,,,
149,0.12,1.55,,0.5,0.085,0.02,,0.97,0.011,0.007,,,,,,,,,,,,,,,,,
150,,1.6,,0.4,0.05,0.5,0.5,2.2,0.015,0.015,,,,,,,,,,,,,,,,,
151,,1.3,,0.6,0.07,1.2,1.0,2.3, 0.015, 0.015,,,,,,,,,,,,,,,,,
152,,1.1,,0.3,0.07,1.1,0.5,, 0.012, 0.012,,,,,,,,,,,,,,,,,
153,,1.0,,0.3,0.07,2.3,1.1,,0.015,0.015,,,,,,,,,,,,,,,,,
154,,1.4,,0.3,0.05,,0.5,,0.015,0.015,,,,,,,,,,,,,,,,,
155,0.06,0.74,,0.16,0.018,15.5,15.9,57.5,,,,,6.02,,,3.6,,,,,,,,,,,
156,,0.45,,0.3,0.15,15.0,4.0,0.6,,,,,Rem,,,,,,,15.0,,,,,,,
157,,0.40,,0.70,0.10,15.0,3.2,,,,,,,,,,,,,14.0,,,,,,,
158,Bal.,0.5,,,,,,0.35,,,,,3.6,,,,,,12.5,,,,,,,,
159,Bal.,,,,0.20,,,,,,,,4.0,,,,,,13.50,,,,,,,,
160,,4.50,,0.60,0.70,,,rem,,,,,34,,,,,,,,,,,,,,
161,,0.6,,0.4,0.06,0.6,0.1,,,,6,,bal,,,,,,,,,,,,,,
162,,1.50,,0.60,0.12,5.5,0.50,,,,,,,,,,,,,,,,,,,,
163,,1.45,,0.55,0.05,,,,0.011,0.010,,,,,,,,,,,,,,,,,
164,,1.2-1.6,,0.35-0.8,0.10,,,,0.015,0.015,,,,,,,,,,,,,,,,,
165,,0.46,,0.3,0.02,11.9,0.6,4.3,,,,,Rem,,,,,,,,,,,,,,
166,,1.5,,0.7,0.05,,,,0.015,0.015,,,,,,,,,,,,,,,,,
167,,1.45,,0.63,0.05,,,,0.011,0.010,,,,,,,,,,,,,,,,,
168,,1.3,,0.7,0.05,,,0.9,0.015,0.015,,,,,,,,,,,,,,,,,
