,"C(Min,Max)%","Cr(Min,Max)%",Elong %,Hydrogen Ml/100gm,"Mn(Min,Max)%","Mo(Min,Max)%",Moisture,"Ni(Min,Max)%","P (Min,Max)%","S (Min,Max)%","Si (Min,Max)%","UTS(Kg/mm2)(Min,Max%","V(Min ,Max%)",YS(Kgf/mm2),"Cb(Min,Max)%","Cu(Min, Max)",UTS,Hardness,Ferrite (Fn),Hardness_Scale
323,0.075,17.5,,,4.75,,,,,,0.375,,,,,,,237.5,,BHN
324,0.075,17.5,,,4.75,,,,,,0.375,,,,,,,237.5,,BHN
325,0.095,2.85,,,1.55,1.15,,2.25,,,0.44999999999999996,,0.30000000000000004,,,,,37.5,,RC
326,0.095,2.85,,,1.55,1.15,,2.25,,,0.44999999999999996,,0.30000000000000004,,,,,37.5,,RC
327,0.095,2.85,,,1.55,1.15,,2.25,,,0.44999999999999996,,0.30000000000000004,,,,,37.5,,RC
328,0.095,2.85,,,1.55,1.15,,2.25,,,0.44999999999999996,,0.30000000000000004,,,,,37.5,,RC
329,0.095,2.85,,,1.55,1.15,,2.25,,,0.44999999999999996,,0.30000000000000004,,,,,37.5,,RC
330,0.095,2.85,,,1.55,1.15,,2.25,,,0.44999999999999996,,0.30000000000000004,,,,,37.5,,RC
331,0.095,2.85,,,1.55,1.15,,2.25,,,0.44999999999999996,,0.30000000000000004,,,,,37.5,,RC
332,0.095,2.85,,,1.55,1.15,,2.25,,,0.44999999999999996,,0.30000000000000004,,,,,37.5,,RC
333,0.095,2.85,,,1.55,1.15,,2.25,,,0.44999999999999996,,0.30000000000000004,,,,,37.5,,RC
334,0.5,6.5,,,0.25,,,,,,0.4,,,,,,,57.5,,RC
335,0.5,6.5,,,0.25,,,,,,0.4,,,,,,,57.5,,RC
336,0.5,6.5,,,0.25,,,,,,0.4,,,,,,,57.5,,RC
337,0.5,6.5,,,0.25,,,,,,0.4,,,,,,,57.5,,RC
338,0.5,6.5,,,0.25,,,,,,0.4,,,,,,,57.5,,RC
339,0.125,10.25,,,0.95,2.6,,2.0,,,0.55,,0.30000000000000004,,,,,40.0,,HRC
340,0.125,10.25,,,0.95,2.6,,2.0,,,0.55,,0.30000000000000004,,,,,40.0,,HRC
341,0.125,10.25,,,0.95,2.6,,2.0,,,0.55,,0.30000000000000004,,,,,40.0,,HRC
342,0.25,0.425,10.0,,1.25,0.125,,0.85,0.01,0.01,0.44999999999999996,380.0,,720.0,,,,,,HRC
343,0.25,0.425,10.0,,1.25,0.125,,0.85,0.01,0.01,0.44999999999999996,380.0,,720.0,,,,,,HRC
344,0.05,2.2,,,1.0,1.0,,2.025,,,0.5,,0.30000000000000004,,,,,36.0,,RC
345,0.05,2.05,,,1.0,1.0,,2.025,,,0.5,,0.30000000000000004,,,,,36.0,,RC
346,0.05,2.05,,,1.0,1.0,,2.025,,,0.5,,0.30000000000000004,,,,,36.0,,RC
347,0.05,2.05,,,1.0,1.0,,2.0,,,0.5,,0.30000000000000004,,,,,36.0,,RC
348,0.05,2.05,,,1.0,1.0,,2.0,,,0.5,,0.30000000000000004,,,,,36.0,,RC
349,0.08,2.05,,,1.5,1.0,,2.0,,,0.44999999999999996,,0.25,,,,,36.0,,RC
350,0.08,2.05,,,1.5,1.0,,2.0,,,0.44999999999999996,,0.25,,,,,36.0,,RC
351,2.5,5.5,,,0.75,,,,0.0125,0.125,3.0,,,,,,,57.0,,RC
352,2.5,5.5,,,0.75,,,,0.0125,0.125,3.0,,,,,,,57.0,,RC
353,2.5,5.5,,,0.75,,,,0.0125,0.125,3.0,,,,,,,57.0,,RC
354,0.05,19.0,,,6.0,,,9.0,0.015,0.015,0.45,,,,,,,225.0,,BHN
355,0.05,19.0,,,6.0,,,9.0,0.015,0.015,0.45,,,,,,,225.0,,BHN
356,0.05,19.0,,,6.0,,,9.0,0.015,0.015,0.45,,,,,,,225.0,,BHN
357,0.05,19.0,,,6.0,,,9.0,0.015,0.015,0.45,,,,,,,225.0,,BHN
358,0.05,19.0,,,6.0,,,9.0,0.015,0.015,0.45,,,,,,,225.0,,BHN
359,0.05,19.0,,,6.0,,,9.0,0.015,0.015,0.45,,,,,,,225.0,,BHN
360,0.5,,,,12.5,,,,,,0.5,,,,,,,225.0,,BHN
361,0.5,,,,12.5,,,,,,0.5,,,,,,,225.0,,BHN
362,0.5,,,,12.5,,,,,,0.5,,,,,,,225.0,,BHN
363,0.5,,,,12.5,,,,,,0.5,,,,,,,225.0,,BHN
364,0.5,,,,12.5,,,,,,0.5,,,,,,,225.0,,BHN
365,0.5,,,,12.0,,,,0.015,0.01,0.6,,,,,,,205.0,,BHN
366,0.5,2.0,,,7.0,,,3.0,,,0.325,,,,,,,225.0,,BHN
367,0.5,2.0,,,7.0,,,3.0,,,0.325,,,,,,,225.0,,BHN
368,0.5,2.0,,,7.0,,,3.0,,,0.325,,,,,,,225.0,,BHN
369,0.5,2.0,,,7.0,,,3.0,,,0.325,,,,,,,225.0,,BHN
370,0.5,2.0,,,7.0,,,3.0,,,0.325,,,,,,,225.0,,BHN
371,,,,,,,,,,,,,,,,,,,,HRC
372,,,,,,,,,,,,,,,,,,,,HRC
373,,,,,,,,,,,,,,,,,,,,HRC
374,,,,,,,,,,,,,,,,,,,,HRC
375,,,,,,,,,,,,,,,,,,,,HRC
376,,,,,,,,,,,,,,,,,,,,HRC
377,,,,,,,,,,,,,,,,,,,,HRC
378,,,,,,,,,,,,,,,,,,,,HRC
379,,,,,,,,,,,,,,,,,,,,HRC
380,,,,,,,,,,,,,,,,,,,,HRC
381,,,,,,,,,,,,,,,,,,,,HRC
382,,,,,,,,,,,,,,,,,,,,HRC
383,,,,,,,,,,,,,,,,,,,,HRC
384,,,,,,,,,,,,,,,,,,,,HRC
385,,,,,,,,,,,,,,,,,,,,HRC
386,,,,,,,,,,,,,,,,,,,,HRC
387,,,,,,,,,,,,,,,,,,,,HRC
388,,,,,,,,,,,,,,,,,,,,HRC
389,,,,,,,,,,,,,,,,,,,,HRC
390,,,,,,,,,,,,,,,,,,,,HRC
391,,,,,,,,,,,,,,,,,,,,HRC
392,,,,,,,,,,,,,,,,,,,,HRC
393,,,,,,,,,,,,,,,,,,,,HRC
394,,,,,,,,,,,,,,,,,,,,HRC
395,,,,,,,,,,,,,,,,,,,,HRC
396,,,,,,,,,,,,,,,,,,,,HRC
397,,,,,,,,,,,,,,,,,,,,HRC
398,,,,,,,,,,,,,,,,,,,,HRC
399,,,,,,,,,,,,,,,,,,,,HRC
400,,,,,,,,,,,,,,,,,,,,HRC
401,,,,,,,,,,,,,,,,,,,,HRC
402,,,,,,,,,,,,,,,,,,,,HRC
403,,,,,,,,,,,,,,,,,,,,HRC
404,,,,,,,,,,,,,,,,,,,,HRC
405,,,,,,,,,,,,,,,,,,,,HRC
406,,,,,,,,,,,,,,,,,,,,HRC
407,,,,,,,,,,,,,,,,,,,,HRC
408,,,,,,,,,,,,,,,,,,,,HRC
409,,,,,,,,,,,,,,,,,,,,HRC
410,,,,,,,,,,,,,,,,,,,,HRC
411,,,,,,,,,,,,,,,,,,,,HRC
412,,,,,,,,,,,,,,,,,,,,HRC
413,,,,,,,,,,,,,,,,,,,,HRC
414,,,,,,,,,,,,,,,,,,,,HRC
415,,,,,,,,,,,,,,,,,,,,HRC
416,,,,,,,,,,,,,,,,,,,,HRC
417,,,,,,,,,,,,,,,,,,,,HRC
418,,,,,,,,,,,,,,,,,,,,HRC
419,,,,,,,,,,,,,,,,,,,,HRC
420,,,,,,,,,,,,,,,,,,,,HRC
421,,,,,,,,,,,,,,,,,,,,HRC
422,,,,,,,,,,,,,,,,,,,,HRC
423,,,,,,,,,,,,,,,,,,,,HRC
424,,,,,,,,,,,,,,,,,,,,HRC
425,,,,,,,,,,,,,,,,,,,,HRC
426,,,,,,,,,,,,,,,,,,,,HRC
427,,,,,,,,,,,,,,,,,,,,HRC
428,,,,,,,,,,,,,,,,,,,,HRC
429,,,,,,,,,,,,,,,,,,,,HRC
430,,,,,,,,,,,,,,,,,,,,HRC
431,,,,,,,,,,,,,,,,,,,,HRC
432,,,,,,,,,,,,,,,,,,,,HRC
433,,,,,,,,,,,,,,,,,,,,HRC
434,,,,,,,,,,,,,,,,,,,,HRC
435,,,,,,,,,,,,,,,,,,,,HRC
436,,,,,,,,,,,,,,,,,,,,HRC
437,,,,,,,,,,,,,,,,,,,,HRC
438,,,,,,,,,,,,,,,,,,,,HRC
439,,,,,,,,,,,,,,,,,,,,HRC
440,,,,,,,,,,,,,,,,,,,,HRC
441,,,,,,,,,,,,,,,,,,,,HRC
442,,,,,,,,,,,,,,,,,,,,HRC
443,,,,,,,,,,,,,,,,,,,,HRC
444,,,,,,,,,,,,,,,,,,,,HRC
445,,,,,,,,,,,,,,,,,,,,HRC
446,,,,,,,,,,,,,,,,,,,,HRC
447,,,,,,,,,,,,,,,,,,,,HRC
448,,,,,,,,,,,,,,,,,,,,HRC
449,,,,,,,,,,,,,,,,,,,,HRC
450,,,,,,,,,,,,,,,,,,,,HRC
451,,,,,,,,,,,,,,,,,,,,HRC
452,,,,,,,,,,,,,,,,,,,,HRC
453,,,,,,,,,,,,,,,,,,,,HRC
454,,,,,,,,,,,,,,,,,,,,HRC
455,,,,,,,,,,,,,,,,,,,,HRC
456,,,,,,,,,,,,,,,,,,,,HRC
457,,,,,,,,,,,,,,,,,,,,HRC
458,,,,,,,,,,,,,,,,,,,,HRC
459,,,,,,,,,,,,,,,,,,,,HRC
460,,,,,,,,,,,,,,,,,,,,HRC
461,,,,,,,,,,,,,,,,,,,,HRC
462,,,,,,,,,,,,,,,,,,,,HRC
463,,,,,,,,,,,,,,,,,,,,HRC
464,,,,,,,,,,,,,,,,,,,,HRC
465,,,,,,,,,,,,,,,,,,,,HRC
466,,,,,,,,,,,,,,,,,,,,HRC
467,,,,,,,,,,,,,,,,,,,,HRC
468,,,,,,,,,,,,,,,,,,,,HRC
469,,,,,,,,,,,,,,,,,,,,HRC
470,,,,,,,,,,,,,,,,,,,,HRC
471,,,,,,,,,,,,,,,,,,,,HRC
472,,,,,,,,,,,,,,,,,,,,HRC
473,,,,,,,,,,,,,,,,,,,,HRC
474,,,,,,,,,,,,,,,,,,,,HRC
475,,,,,,,,,,,,,,,,,,,,HRC
476,,,,,,,,,,,,,,,,,,,,HRC
477,,,,,,,,,,,,,,,,,,,,HRC
478,,,,,,,,,,,,,,,,,,,,HRC
479,,,,,,,,,,,,,,,,,,,,HRC
480,,,,,,,,,,,,,,,,,,,,HRC
481,,,,,,,,,,,,,,,,,,,,HRC
482,,,,,,,,,,,,,,,,,,,,HRC
483,,,,,,,,,,,,,,,,,,,,HRC
484,,,,,,,,,,,,,,,,,,,,HRC
485,,,,,,,,,,,,,,,,,,,,HRC
486,,,,,,,,,,,,,,,,,,,,HRC
487,,,,,,,,,,,,,,,,,,,,HRC
