,Cu,Mn,Other,Si,C,Cr,Mo,Ni,P,S,V,N,Fe,Nb,Ti,W,Nb+Ta,B,Al,Co,Zn,Zr,Mg,Be,Ag,Sn,Ni+Co
263,1.0,,,,,,,,0.2,,,,,,,,,,,,,,,,,6.3,
264,1.0,,,,,,,,0.2,,,,,,,,,,,,,,,,,6.3,
265,1.0,0.3,,0.3,,,,,,,,,,,,,,,,,,,,,,0.8,
266,58.0,0.255,,0.095,,,,,,,,,0.725,,,,,,,,39.974999999999994,,,,,0.9500000000000001,
267,59.0,,,,,,,,,,,,,,,,,,,,40.375,,,,,0.625,
268,59.0,,,,,,,,,,,,,,,,,,,,40.375,,,,,0.625,
269,,1.0,,1.0,2.5,32.0,,2.5,,,,,2.5,,,13.0,,,,45.5,,,,,,,
270,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,,,,1.2,1.75,29.0,,2.5,,,,,2.5,,,9.0,,,,54.05,,,,,,,
272,,,,1.5,1.4,29.0,,,,,,,2.0,,,8.0,,,,58.1,,,,,,,
273,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,,,,1.0,1.8,29.0,,2.5,,,,,2.5,,,8.8,,,,54.400000000000006,,,,,,,
275,,,,,2.3,32.0,,,,,,,,,,13.0,,,,52.7,,,,,,,
276,,1.0,,1.25,0.27,28.0,5.0,2.75,,,,,3.5,,,,,,,58.230000000000004,,,,,,,
277,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,,1.5,,0.4,0.1,20.0,1.0,10.0,,,,,3.0,,,15.0,,,,49.0,,,,,,,
280,,,,,,,,,,,,,,,,,,,,,,,,,,,
