,Elong %,Hydrogen Ml/100gm,Moisture,YS(Kgf/mm2),UTS,Hardness,Ferrite (Fn),Hardness_Scale,V,C,Cr,Mn,Mo,Ni,P ,S ,Si ,Cb,UTS(Kg/mm2),Cu
18,11.0,5.0,0.3,210.0,,,,HRC,0.025,0.075,0.1,0.8,0.1,0.15,0.0175,0.0175,0.375,0.025,570.0,0.15
19,11.0,5.0,0.3,210.0,,,,HRC,0.025,0.075,0.1,0.8,0.1,0.15,0.0175,0.0175,0.375,0.025,570.0,0.15
20,11.0,5.0,0.3,210.0,,,,HRC,0.025,0.075,0.1,0.8,0.1,0.15,0.0175,0.0175,0.375,0.025,570.0,0.15
21,11.0,5.0,0.3,210.0,,,,HRC,0.025,0.075,0.1,0.8,0.1,0.15,0.0175,0.0175,0.375,0.025,570.0,0.15
22,11.0,5.0,0.3,210.0,,,,HRC,0.025,0.075,0.1,0.8,0.1,0.15,0.0175,0.0175,0.375,0.025,570.0,0.15
23,11.0,5.0,0.3,210.0,,,,HRC,0.025,0.075,0.1,0.8,0.1,0.15,0.0175,0.0175,0.375,0.025,570.0,0.15
24,11.0,5.0,0.3,210.0,,,,HRC,0.025,0.075,0.1,0.8,0.1,0.15,0.0175,0.0175,0.375,0.025,570.0,0.15
25,11.0,5.0,0.3,210.0,,,,HRC,0.025,0.075,0.1,0.8,0.1,0.15,0.0175,0.0175,0.375,0.025,570.0,0.15
26,11.0,5.0,0.3,210.0,,,,HRC,0.025,0.075,0.1,0.8,0.1,0.15,0.0175,0.0175,0.375,0.025,570.0,0.15
27,11.0,5.0,0.3,210.0,,,,HRC,0.025,0.075,0.1,0.8,0.1,0.15,0.0175,0.0175,0.375,0.025,570.0,0.15
28,11.0,5.0,0.3,210.0,,,,HRC,0.025,0.075,0.1,0.8,0.1,0.15,0.0175,0.0175,0.375,0.025,570.0,0.15
29,11.0,5.0,0.3,210.0,,,,HRC,0.025,0.075,0.1,0.8,0.1,0.15,0.0175,0.0175,0.375,0.025,570.0,0.15
30,11.0,5.0,0.3,210.0,,,,HRC,0.025,0.075,0.1,0.8,0.1,0.15,0.0175,0.0175,0.375,0.025,570.0,0.15
31,11.0,5.0,0.3,210.0,,,,HRC,0.025,0.075,0.1,0.8,0.1,0.15,0.0175,0.0175,0.375,0.025,570.0,0.15
32,11.0,5.0,0.3,210.0,,,,HRC,0.025,0.075,0.1,0.8,0.1,0.15,0.0175,0.0175,0.375,0.025,570.0,0.15
33,11.0,5.0,0.3,210.0,,,,HRC,0.025,0.075,0.1,0.8,0.1,0.15,0.0175,0.0175,0.375,0.025,570.0,0.15
34,11.0,5.0,0.3,210.0,,,,HRC,0.025,0.075,0.1,0.8,0.1,0.15,0.0175,0.0175,0.375,0.025,570.0,0.15
35,11.0,5.0,0.3,210.0,,,,HRC,0.025,0.075,0.1,0.8,0.1,0.15,0.0175,0.0175,0.375,0.025,570.0,0.15
36,11.0,5.0,0.3,210.0,,,,HRC,0.025,0.075,0.1,0.8,0.1,0.15,0.0175,0.0175,0.375,0.025,570.0,0.15
37,11.0,5.0,0.3,210.0,,,,HRC,0.025,0.075,0.1,0.8,0.1,0.15,0.0175,0.0175,0.375,0.025,570.0,0.15
38,11.0,5.0,0.3,210.0,,,,HRC,0.025,0.075,0.1,0.8,0.1,0.15,0.0175,0.0175,0.375,0.025,570.0,0.15
39,11.0,5.0,0.3,210.0,,,,HRC,0.025,0.075,0.1,0.8,0.1,0.15,0.0175,0.0175,0.375,0.025,570.0,0.15
40,11.0,5.0,0.3,210.0,,,,HRC,0.025,0.075,0.1,0.8,0.1,0.15,0.0175,0.0175,0.375,0.025,570.0,0.15
41,11.0,5.0,0.3,210.0,,,,HRC,0.025,0.075,0.1,0.8,0.1,0.15,0.0175,0.0175,0.375,0.025,570.0,0.15
42,11.0,5.0,0.3,210.0,,,,HRC,0.025,0.075,0.1,0.8,0.1,0.15,0.0175,0.0175,0.375,0.025,570.0,0.15
43,11.0,5.0,0.3,210.0,,,,HRC,0.025,0.075,0.1,0.8,0.1,0.15,0.0175,0.0175,0.375,0.025,570.0,0.15
